内部ID	类别编码	类别名称	类别说明
0003007600090000	37690	其他专用仪器仪表	
00030077	377	计量标准器具及量具衡器	
000300770001	3771	长度计量标准器具	
0003007700010001	37711	端度计量标准器具	
0003007700010002	37712	线纹计量标准器具	
0003007700010003	37713	齿轮参数计量标准器具	
0003007700010004	37714	角度计量标准器具	
0003007700010005	37715	光学仪器检测器具	
0003007700010009	37719	其他长度计量标准器具	
000300770002	3772	热学计量标准器具	
0003007700020001	37721	温度计量标准器具	
0003007700020002	37722	热量计量标准器具	
0003007700020003	37723	湿度计量标准器具	
0003007700020009	37729	其他热学计量标准器具	
000300770003	3773	力学计量标准器具	
0003007700030001	37731	质量计量标准器具	
0003007700030002	37732	容量计量标准器具	
0003007700030003	37733	密度计量标准器具	
0003007700030004	37734	流量计量标准器具	
0003007700030005	37735	压力及真空计量标准器具	
0003007700030006	37736	测力计量标准器具	
0003007700030007	37737	硬度计量标准器具	
0003007700030008	37738	振动加速度及转速计量标准器具	
0003007700030009	37739	其他力学计量标准器具	
000300770004	3774	电磁学计量标准器具	
0003007700040001	37741	电表类计量标准器具	
0003007700040002	37742	交流计量标准器具	
0003007700040003	37743	直流计量标准器具	
0003007700040004	37744	高电压大电流计量标准器具	
0003007700040005	37745	磁特性计量标准器具	
000300770005	3775	无线电计量标准器具	
0003007700050001	37751	电压及功率参数计量标准器具	
0003007700050002	37752	信号及脉冲参数计量标准器具	
0003007700050003	37753	噪声参数计量标准器具	
0003007700050004	37754	元器件参数计量标准器具	
0003007700050005	37755	相位参数计量标准器具	
0003007700050006	37756	微波阻抗参数计量标准器具	
0003007700050007	37757	场强参数计量标准器具	
0003007700050008	37758	衰减计量标准器具	
0003007700050009	37759	其他无线电计量标准器具	
000300770006	3776	时间频率电离辐射计量标准器具	
0003007700060001	37761	时间频率计量标准器具	
0003007700060002	37762	电离辐射计量标准器具	
000300770007	3777	光学声学化学计量标准器具	
0003007700070001	37771	光学计量标准器具	
0003007700070002	37772	声学计量标准器具	
0003007700070003	37773	化学计量标准器具	
0003007700070009	37779	其他光学声学化学计量标准器具	
0003007700080000	37780	量具	
000300770009	3779	衡器	
0003007700090001	37791	地上地中轨道衡	
0003007700090002	37792	钢材秤皮带秤吊秤	
0003007700090003	37793	配料秤定量秤台案秤地秤	
0003007700090004	37794	液体秤	
0003007700090005	37795	气体秤	
0003007700090009	37799	其他衡器	
